"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Bhubaneswar","BP-BMC-2022-05-14-003593","BPA1","2022-05-14","2022-05-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001748","BPA1","2022-03-16","2022-03-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000826","BPA1","2022-02-12","2022-02-13","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-20-001837","BPA1","2022-03-20","2022-03-29","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-19-000975","BPA1","2022-02-19","2022-02-19","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-14-003595","BPA1","2022-05-14",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Vyasanagar","BP-VSN-2022-04-25-002858","BPA1","2022-04-25","2022-04-25","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-23-002793","BPA1","2022-04-23","2022-05-05","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-23-001089","BPA1","2022-02-23","2022-03-02","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-05-002241","BPA1","2022-04-05","2022-04-05","APPROVED","BP/BAM/000122","2022-04-25"
"Bhubaneswar","BP-BMC-2022-01-24-000529","BPA1","2022-01-24","2022-02-04","APPROVED","BP/BMC/000125","2022-04-26"
"Bhubaneswar","BP-BMC-2022-04-26-002876","BPA1","2022-04-26","2022-04-26","APPROVED","BP/BMC/000143","2022-04-29"
"Bhubaneswar","BP-BMC-2022-03-05-001413","BPA1","2022-03-05","2022-04-05","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-02-002144","BPA1","2022-04-02","2022-04-03","APPROVED","BP/BAM/000144","2022-04-29"
"Vyasanagar","BP-VSN-2022-04-25-002859","BPA1","2022-04-25","2022-04-25","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-22-002764","BPA1","2022-04-22","2022-04-25","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-14-003596","BPA1","2022-05-14",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-04-12-002488","BPA1","2022-04-12","2022-04-13","APPROVED","BP/SMB/000178","2022-05-11"
"Rourkela","BP-RRK-2022-04-23-002777","BPA2","2022-04-23","2022-04-25","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-24-002818","BPA1","2022-04-24","2022-04-24","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002060","BPA2","2022-03-31","2022-04-07","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-26-002882","BPA2","2022-04-26","2022-05-07","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-26-001192","BPA2","2022-02-26","2022-04-27","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-21-002691","BPA1","2022-04-21","2022-05-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-07-000700","BPA1","2022-02-07","2022-02-07","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-08-001482","BPA2","2022-03-08","2022-03-08","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-22-002769","BPA1","2022-04-22",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-12-002454","BPA2","2022-04-12","2022-04-21","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-10-003421","BPA2","2022-05-10",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003581","BPA1","2022-05-13","2022-05-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-23-002796","BPA2","2022-04-23",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-01-003096","BPA1","2022-05-01","2022-05-01","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-23-002798","BPA1","2022-04-23","2022-05-03","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-29-003026","BPA1","2022-04-29","2022-05-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-30-002046","BPA1","2022-03-30","2022-05-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-10-003424","BPA1","2022-05-10",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-04-14-002526","BPA1","2022-04-14","2022-04-23","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-22-002748","BPA1","2022-04-22","2022-04-22","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-23-001894","BPA1","2022-03-23","2022-03-23","APPROVED","BP/BAM/000177","2022-05-11"
"Sambalpur","BP-SMB-2022-04-22-002770","BPA1","2022-04-22","2022-04-22","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-11-002423","BPA1","2022-04-11","2022-04-22","APPROVAL_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-18-002597","BPA1","2022-04-18","2022-04-18","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Vyasanagar","BP-VSN-2022-04-25-002860","BPA1","2022-04-25","2022-04-25","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-12-002453","BPA1","2022-04-12","2022-04-12","APPROVED","BP/BAM/000123","2022-04-25"
"Bhubaneswar","BP-BMC-2022-04-23-002799","BPA1","2022-04-23","2022-05-07","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-26-000544","BPA2","2022-01-26","2022-02-23","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002723","BPA1","2022-04-21","2022-04-22","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-01-001255","BPA1","2022-03-01","2022-05-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-21-002729","BPA1","2022-04-21","2022-04-22","APPROVED","BP/BAM/000171","2022-05-07"
"Sambalpur","BP-SMB-2022-01-15-000366","BPA1","2022-01-15","2022-04-13","APPROVED","BP/SMB/000117","2022-04-22"
"Berhampur","BP-BAM-2022-04-27-002929","BPA1","2022-04-27","2022-04-28","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Vyasanagar","BP-VSN-2022-04-26-002883","BPA1","2022-04-26","2022-04-26","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-25-002833","BPA1","2022-04-25","2022-04-25","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-18-003698","BPA1","2022-05-18","2022-05-20","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Vyasanagar","BP-VSN-2022-04-26-002891","BPA1","2022-04-26","2022-04-26","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-01-29-000579","BPA1","2022-01-29","2022-02-04","APPROVED","BP/BMC/000121","2022-04-25"
"Rourkela","BP-RRK-2022-02-28-001252","BPA1","2022-02-28","2022-03-11","APPROVED","BP/RRK/000137","2022-04-28"
"Rourkela","BP-RRK-2022-04-29-003019","BPA1","2022-04-29","2022-05-10","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampur","BP-BAM-2022-05-03-003134","BPA1","2022-05-03","2022-05-05","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-02-22-001050","BPA1","2022-02-22","2022-02-25","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Sambalpur","BP-SMB-2022-04-20-002676","BPA1","2022-04-20","2022-04-20","APPROVED","BP/SMB/000154","2022-05-02"
"Rourkela","BP-RRK-2022-03-03-001319","BPA1","2022-03-03","2022-03-08","APPROVED","BP/RRK/000165","2022-05-06"
"Bhubaneswar","BP-BMC-2022-02-15-000879","BPA1","2022-02-15","2022-02-15","APPROVED","BP/BMC/000167","2022-05-06"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-02-003125","BPA2","2022-05-02",NULL,"PENDING_APPL_FEE",NULL,NULL
"Vyasanagar","BP-VSN-2022-04-26-002893","BPA1","2022-04-26","2022-04-26","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-05-002221","BPA1","2022-04-05","2022-04-11","APPROVAL_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-05-05-003252","BPA1","2022-05-05","2022-05-05","APPROVED","BP/BED/000181","2022-05-12"
"Bhubaneswar","BP-BMC-2022-04-07-002335","BPA2","2022-04-07","2022-04-12","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-14-003598","BPA1","2022-05-14","2022-05-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-23-001899","BPA1","2022-03-23","2022-03-23","APPROVAL_INPROGRESS",NULL,NULL
"Rourkeladevelopmentauthority","BP-RDA-2022-05-03-003136","BPA1","2022-05-03",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-17-001811","BPA1","2022-03-17","2022-03-22","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-04-07-002323","BPA1","2022-04-07","2022-04-21","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-25-001177","BPA1","2022-02-25","2022-03-07","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-03-29-002005","BPA1","2022-03-29","2022-04-12","APPROVED","BP/RRK/000193","2022-05-18"
"Cuttack","BP-CTC-2022-05-12-003497","BPA2","2022-05-12",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-05-14-003600","BPA1","2022-05-14","2022-05-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-03-003137","BPA1","2022-05-03","2022-05-05","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-11-003493","BPA1","2022-05-11",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-05-12-003498","BPA1","2022-05-12",NULL,"INITIATED",NULL,NULL
"Cuttack","BP-CTC-2022-03-31-002057","BPA2","2022-03-31","2022-04-01","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-12-000833","BPA1","2022-02-12","2022-02-12","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-24-001125","BPA2","2022-02-24","2022-03-04","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-15-003619","BPA1","2022-05-15",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000740","BPA1","2022-02-08","2022-02-08","APPROVED","BP/BMC/000128","2022-04-27"
"Cuttack","BP-CTC-2022-03-11-001598","BPA1","2022-03-11","2022-03-16","APPROVED","BP/CTC/000155","2022-05-04"
"Berhampur","BP-BAM-2022-04-18-002609","BPA1","2022-04-18","2022-04-21","APPROVED","BP/BAM/000168","2022-05-06"
"Cuttack","BP-CTC-2022-04-07-002331","BPA1","2022-04-07","2022-04-15","APPROVED","BP/CTC/000131","2022-04-27"
"Bhubaneswar","BP-BMC-2022-04-30-003061","BPA1","2022-04-30","2022-05-02","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-05-12-003502","BPA1","2022-05-12","2022-05-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-27-001973","BPA1","2022-03-27","2022-03-28","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-06-003297","BPA2","2022-05-06","2022-05-18","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Vyasanagar","BP-VSN-2022-04-26-002905","BPA1","2022-04-26","2022-04-27","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-01-001262","BPA1","2022-03-01","2022-03-01","APPROVED","BP/BDA/000173","2022-05-09"
"Bhubaneswar","BP-BMC-2022-04-10-002394","BPA2","2022-04-10","2022-04-11","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-06-002275","BPA1","2022-04-06","2022-04-06","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-15-003620","BPA1","2022-05-15",NULL,"INITIATED",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-04-002192","BPA1","2022-04-04","2022-04-04","APPROVED","BP/BED/000191",NULL
"Rourkela","BP-RRK-2021-12-16-000200","BPA2","2021-12-16","2022-01-04","APPROVED","BP/RRK/000126","2022-03-22"
"Bhubaneswar","BP-BMC-2022-02-28-001230","BPA1","2022-02-28","2022-03-10","APPROVED","BP/BMC/000163","2022-05-06"
"Bhubaneswar","BP-BMC-2022-02-12-000836","BPA1","2022-02-12","2022-02-12","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-08-001474","BPA1","2022-03-08","2022-03-08","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-05-18-003699","BPA1","2022-05-18","2022-05-18","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Sambalpur","BP-SMB-2022-03-12-001623","BPA1","2022-03-12","2022-04-07","APPROVED","BP/SMB/000147","2022-04-30"
"Berhampur","BP-BAM-2022-05-05-003248","BPA1","2022-05-05","2022-05-06","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-14-003604","BPA1","2022-05-14","2022-05-16","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-09-002384","BPA1","2022-04-09","2022-04-09","APPROVED","BP/BED/000149","2022-05-01"
"Sundargarh","BP-SNG-2022-04-30-003056","BPA1","2022-04-30","2022-05-01","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-04-20-002666","BPA1","2022-04-20","2022-04-20","APPROVED","BP/CTC/000150","2022-05-02"
"Bhubaneswar","BP-BMC-2022-05-03-003143","BPA1","2022-05-03","2022-05-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-29-003034","BPA1","2022-04-29","2022-05-03","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-12-001638","BPA1","2022-03-12","2022-03-15","APPROVED","BP/BMC/000134","2022-04-28"
"Sambalpur","BP-SMB-2022-05-09-003368","BPA1","2022-05-09","2022-05-14","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-03-003139","BPA2","2022-05-03","2022-05-03","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-15-003622","BPA1","2022-05-15",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-16-001755","BPA2","2022-03-16","2022-05-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-05-18-003700","BPA1","2022-05-18","2022-05-18","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-09-002383","BPA1","2022-04-09","2022-04-09","APPROVED","BP/BED/000146","2022-04-30"
"Berhampurdevelopmentauthority","BP-BED-2022-04-18-002599","BPA1","2022-04-18","2022-04-18","APPROVED","BP/BED/000158","2022-05-04"
"Bhubaneswar","BP-BMC-2022-04-23-002790","BPA1","2022-04-23",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-03-001314","BPA1","2022-03-03","2022-03-05","REJECTED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-30-003073","BPA1","2022-04-30","2022-05-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-30-002031","BPA1","2022-03-30","2022-04-13","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001661","BPA1","2022-03-14","2022-03-16","APPROVAL_INPROGRESS",NULL,NULL
"Vyasanagar","BP-VSN-2022-04-25-002856","BPA1","2022-04-25","2022-04-25","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-17-001819","BPA1","2022-03-17","2022-03-18","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-04-14-002528","BPA1","2022-04-14","2022-04-23","APPROVED","BP/RRK/000194","2022-05-18"
"Bhubaneswar","BP-BMC-2022-04-28-003009","BPA1","2022-04-28","2022-04-28","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-09-003381","BPA1","2022-05-09","2022-05-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-21-001853","BPA1","2022-03-21","2022-04-08","APPROVED","BP/BMC/000172","2022-05-07"
"Bhubaneswar","BP-BMC-2022-05-09-003380","BPA1","2022-05-09",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001662","BPA1","2022-03-14","2022-03-15","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-10-003450","BPA1","2022-05-10",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-14-001680","BPA2","2022-03-14","2022-05-09","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001283","BPA1","2022-03-02","2022-03-17","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-15-003623","BPA1","2022-05-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-04-29-003045","BPA1","2022-04-29","2022-04-29","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-24-001908","BPA2","2022-03-24","2022-04-12","APPROVAL_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-05-002269","BPA2","2022-04-05","2022-04-05","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-01-001254","BPA1","2022-03-01","2022-03-01","APPROVED","BP/BAM/000133","2022-04-28"
"Bhubaneswar","BP-BMC-2022-04-27-002913","BPA2","2022-04-27","2022-04-27","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-28-001236","BPA1","2022-02-28","2022-03-02","APPROVAL_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-03-16-001752","BPA1","2022-03-16","2022-03-16","APPROVED","BP/SMB/000135",NULL
"Cuttack","BP-CTC-2022-04-21-002714","BPA1","2022-04-21","2022-04-21","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-15-003624","BPA1","2022-05-15",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-15-003626","BPA1","2022-05-15",NULL,"INITIATED",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-30-003080","BPA1","2022-04-30","2022-05-13","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-04-30-003077","BPA2","2022-04-30","2022-05-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-14-003608","BPA1","2022-05-14","2022-05-17","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001501","BPA1","2022-03-08","2022-03-09","APPROVAL_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-05-14-003609","BPA1","2022-05-14",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-04-11-002434","BPA1","2022-04-11","2022-04-11","APPROVED","BP/BAM/000148","2022-05-01"
"Sambalpur","BP-SMB-2022-05-09-003398","BPA1","2022-05-09","2022-05-18","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-05-12-003504","BPA1","2022-05-12","2022-05-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-04-30-003076","BPA1","2022-04-30","2022-04-30","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-21-001854","BPA1","2022-03-21","2022-03-25","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-04-003163","BPA1","2022-05-04","2022-05-04","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-10-003452","BPA1","2022-05-10","2022-05-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-03-003140","BPA2","2022-05-03","2022-05-17","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-05-14-003610","BPA1","2022-05-14",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-04-29-003016","BPA1","2022-04-29","2022-04-29","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampur","BP-BAM-2022-05-15-003627","BPA1","2022-05-15","2022-05-16","APPROVAL_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-04-28-002980","BPA1","2022-04-28","2022-04-28","APPROVED","BP/CTC/000170","2022-05-07"
"Bhubaneswar","BP-BMC-2022-04-08-002350","BPA1","2022-04-08","2022-04-08","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-05-001406","BPA1","2022-03-05","2022-03-05","APPROVED","BP/BAM/000160","2022-05-05"
"Bhubaneswar","BP-BMC-2022-04-06-002278","BPA2","2022-04-06","2022-04-07","APPROVAL_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-28-002986","BPA1","2022-04-28","2022-04-28","APPROVED","BP/BED/000184","2022-05-12"
"Bhubaneswar","BP-BMC-2022-04-05-002251","BPA2","2022-04-05","2022-04-06","APPROVAL_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-05-19-003701","BPA1","2022-05-19","2022-05-19","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-08-001494","BPA1","2022-03-08","2022-03-08","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-12-003527","BPA1","2022-05-12","2022-05-12","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-07-002298","BPA1","2022-04-07","2022-04-07","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-05-16-003628","BPA1","2022-05-16","2022-05-16","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-02-003097","BPA1","2022-05-02",NULL,"PENDING_APPL_FEE",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-28-001980","BPA2","2022-03-28","2022-03-30","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-29-003024","BPA1","2022-04-29","2022-04-29","APPROVED","BP/BED/000161","2022-05-05"
"Bhubaneswar","BP-BMC-2022-05-19-003723","BPA1","2022-05-19","2022-05-19","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Vyasanagar","BP-VSN-2022-04-26-002887","BPA1","2022-04-26","2022-04-26","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-04-05-002267","BPA1","2022-04-05","2022-04-09","APPROVED","BP/BED/000176","2022-05-10"
"Bhubaneswar","BP-BMC-2022-04-28-002979","BPA1","2022-04-28","2022-05-06","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-17-000928","BPA2","2022-02-17","2022-03-04","APP_L1_VERIFICATION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-12-002481","BPA1","2022-04-12","2022-04-12","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001284","BPA1","2022-03-02","2022-03-03","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-05-12-003528","BPA1","2022-05-12",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-04-23-002807","BPA1","2022-04-23","2022-05-06","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-08-001472","BPA1","2022-03-08","2022-03-10","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001204","BPA1","2022-02-26","2022-03-07","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-24-000526","BPA1","2022-01-24","2022-03-22","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Berhampur","BP-BAM-2022-04-21-002727","BPA1","2022-04-21","2022-04-25","APPROVED","BP/BAM/000166","2022-05-06"
"Berhampur","BP-BAM-2022-05-05-003235","BPA2","2022-05-05","2022-05-05","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-28-001988","BPA2","2022-03-28","2022-03-29","APPROVAL_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-05-07-003332","BPA1","2022-05-07","2022-05-17","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Rourkela","BP-RRK-2022-04-28-003012","BPA1","2022-04-28","2022-04-30","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-05-19-003702","BPA1","2022-05-19","2022-05-19","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-19-003739","BPA1","2022-05-19","2022-05-19","FIELDINSPECTION_INPROGRESS",NULL,NULL
